Algorithm,Scenario,Strategy,Top1_acc,Top5_acc,PowerLoss_dB,AllocGain,Fairness,Coverage,TrainTime,InferTime,RobustnessDrop
KNN,Scenario 1 (V2I - Day - Location A),Max-SNR,4.329896907216495,22.88659793814433,1.5016189270439373,26.241401377632872,0.9986293327328462,0.9999999999979167,0.009759664535522461,1.256704330444336e-05,0.0
KNN,Scenario 1 (V2I - Day - Location A),Round-Robin,4.329896907216495,22.88659793814433,1.5016189270439373,2.624140137763287,0.9986293327328456,0.9999999999979167,0.009759664535522461,1.256704330444336e-05,0.0
KNN,Scenario 1 (V2I - Day - Location A),Proportional-Fair,4.329896907216495,22.88659793814433,1.5016189270439373,2.676642630540308,0.713959177854182,0.9999999999979167,0.009759664535522461,1.256704330444336e-05,0.0
KNN,Scenario 1 (V2I - Day - Location A),Max-Min,4.329896907216495,22.88659793814433,1.5016189270439373,24.69813339218801,0.9996640726475796,0.9999999999979167,0.009759664535522461,1.256704330444336e-05,0.0
NN,Scenario 1 (V2I - Day - Location A),Max-SNR,42.47422680412371,95.05154639175257,0.42815639917601916,26.59749623962404,0.9987416265493566,0.9999999999979167,27.141470670700073,9.994268417358398e-05,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Round-Robin,42.47422680412371,95.05154639175257,0.42815639917601916,2.659749623962404,0.9987416265493564,0.9999999999979167,27.141470670700073,9.994268417358398e-05,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Proportional-Fair,42.47422680412371,95.05154639175257,0.42815639917601916,2.7086817540611206,0.7297004701808284,0.9999999999979167,27.141470670700073,9.994268417358398e-05,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Max-Min,42.47422680412371,95.05154639175257,0.42815639917601916,25.04152906882501,0.9996069182056738,0.9999999999979167,27.141470670700073,9.994268417358398e-05,22.2680412371134
RF,Scenario 1 (V2I - Day - Location A),Max-SNR,4.123711340206185,36.907216494845365,1.4320690163162488,26.263859131958856,0.9986652529485412,0.9999999999979167,0.8603670597076416,0.001125502586364746,0.0
RF,Scenario 1 (V2I - Day - Location A),Round-Robin,4.123711340206185,36.907216494845365,1.4320690163162488,2.6263859131958855,0.9986652529485407,0.9999999999979167,0.8603670597076416,0.001125502586364746,0.0
RF,Scenario 1 (V2I - Day - Location A),Proportional-Fair,4.123711340206185,36.907216494845365,1.4320690163162488,2.677162459676791,0.7241456933276545,0.9999999999979167,0.8603670597076416,0.001125502586364746,0.0
RF,Scenario 1 (V2I - Day - Location A),Max-Min,4.123711340206185,36.907216494845365,1.4320690163162488,24.71770202421575,0.9996911134728126,0.9999999999979167,0.8603670597076416,0.001125502586364746,0.0
XGB,Scenario 1 (V2I - Day - Location A),Max-SNR,4.329896907216495,43.09278350515464,1.4771057540186359,26.25027363955412,0.9987598153672903,0.9999999999979167,21.983094930648804,0.0003174424171447754,2.8865979381443294
XGB,Scenario 1 (V2I - Day - Location A),Round-Robin,4.329896907216495,43.09278350515464,1.4771057540186359,2.625027363955412,0.9987598153672896,0.9999999999979167,21.983094930648804,0.0003174424171447754,2.8865979381443294
XGB,Scenario 1 (V2I - Day - Location A),Proportional-Fair,4.329896907216495,43.09278350515464,1.4771057540186359,2.6726816149462524,0.7302316221724839,0.9999999999979167,21.983094930648804,0.0003174424171447754,2.8865979381443294
XGB,Scenario 1 (V2I - Day - Location A),Max-Min,4.329896907216495,43.09278350515464,1.4771057540186359,24.791070493538047,0.9996068019783206,0.9999999999979167,21.983094930648804,0.0003174424171447754,2.8865979381443294
NB,Scenario 1 (V2I - Day - Location A),Max-SNR,5.154639175257731,37.31958762886598,1.8967098956424993,26.107581493466196,0.9984604408587078,0.9999999999979167,0.09125781059265137,0.00012093305587768555,0.0
NB,Scenario 1 (V2I - Day - Location A),Round-Robin,5.154639175257731,37.31958762886598,1.8967098956424993,2.6107581493466196,0.9984604408587068,0.9999999999979167,0.09125781059265137,0.00012093305587768555,0.0
NB,Scenario 1 (V2I - Day - Location A),Proportional-Fair,5.154639175257731,37.31958762886598,1.8967098956424993,2.6726248675069173,0.6627693640780652,0.9999999999979167,0.09125781059265137,0.00012093305587768555,0.0
NB,Scenario 1 (V2I - Day - Location A),Max-Min,5.154639175257731,37.31958762886598,1.8967098956424993,24.609806418255037,0.9997542080205594,0.9999999999979167,0.09125781059265137,0.00012093305587768555,0.0
KNN,Scenario 2 (V2I - Night),Max-SNR,6.5546218487394965,24.369747899159663,2.048737814304048,27.804753470510583,0.9991587298977048,0.9999999999983051,0.04223513603210449,0.00010988712310791015,0.0
KNN,Scenario 2 (V2I - Night),Round-Robin,6.5546218487394965,24.369747899159663,2.048737814304048,2.7804753470510586,0.9991587298977048,0.9999999999983051,0.04223513603210449,0.00010988712310791015,0.0
KNN,Scenario 2 (V2I - Night),Proportional-Fair,6.5546218487394965,24.369747899159663,2.048737814304048,2.8154714637646623,0.8051790876843173,0.9999999999983051,0.04223513603210449,0.00010988712310791015,0.0
KNN,Scenario 2 (V2I - Night),Max-Min,6.5546218487394965,24.369747899159663,2.048737814304048,26.425528480968367,0.9998360090172593,0.9999999999983051,0.04223513603210449,0.00010988712310791015,0.0
NN,Scenario 2 (V2I - Night),Max-SNR,38.82352941176471,89.41176470588236,0.9141999807746193,28.178926837472236,0.9991023380943687,0.9999999999983051,77.23642373085022,7.819414138793946e-05,8.067226890756306
NN,Scenario 2 (V2I - Night),Round-Robin,38.82352941176471,89.41176470588236,0.9141999807746193,2.8178926837472242,0.9991023380943685,0.9999999999983051,77.23642373085022,7.819414138793946e-05,8.067226890756306
NN,Scenario 2 (V2I - Night),Proportional-Fair,38.82352941176471,89.41176470588236,0.9141999807746193,2.852378262116847,0.8248274154090853,0.9999999999983051,77.23642373085022,7.819414138793946e-05,8.067226890756306
