Algorithm,Scenario,Strategy,Top1_acc,Top5_acc,PowerLoss_dB,AllocGain,Fairness,Coverage,TrainTime,InferTime,RobustnessDrop
KNN,Scenario 1 (V2I - Day - Location A),Max-SNR,50.103092783505154,84.94845360824742,0.2596102849128044,26.654885048220468,0.9986977314357415,0.9999999999979167,0.0037419795989990234,8.146762847900391e-06,31.75257731958763
KNN,Scenario 1 (V2I - Day - Location A),Round-Robin,50.103092783505154,84.94845360824742,0.2596102849128044,2.6654885048220467,0.9986977314357411,0.9999999999979167,0.0037419795989990234,8.146762847900391e-06,31.75257731958763
KNN,Scenario 1 (V2I - Day - Location A),Proportional-Fair,50.103092783505154,84.94845360824742,0.2596102849128044,2.71554158330603,0.7310067950772904,0.9999999999979167,0.0037419795989990234,8.146762847900391e-06,31.75257731958763
KNN,Scenario 1 (V2I - Day - Location A),Max-Min,50.103092783505154,84.94845360824742,0.2596102849128044,25.052670861531116,0.9995683614059451,0.9999999999979167,0.0037419795989990234,8.146762847900391e-06,31.75257731958763
NN,Scenario 1 (V2I - Day - Location A),Max-SNR,42.47422680412371,95.05154639175257,0.42815639917601916,26.59749623962404,0.9987416265493566,0.9999999999979167,8.020590782165527,8.077621459960938e-06,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Round-Robin,42.47422680412371,95.05154639175257,0.42815639917601916,2.659749623962404,0.9987416265493564,0.9999999999979167,8.020590782165527,8.077621459960938e-06,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Proportional-Fair,42.47422680412371,95.05154639175257,0.42815639917601916,2.7086817540611206,0.7297004701808284,0.9999999999979167,8.020590782165527,8.077621459960938e-06,22.2680412371134
NN,Scenario 1 (V2I - Day - Location A),Max-Min,42.47422680412371,95.05154639175257,0.42815639917601916,25.04152906882501,0.9996069182056738,0.9999999999979167,8.020590782165527,8.077621459960938e-06,22.2680412371134
RF,Scenario 1 (V2I - Day - Location A),Max-SNR,49.27835051546392,90.9278350515464,0.2627647027682028,26.653904012411694,0.9986885123348588,0.9999999999979167,0.1107792854309082,0.0001718878746032715,37.11340206185567
RF,Scenario 1 (V2I - Day - Location A),Round-Robin,49.27835051546392,90.9278350515464,0.2627647027682028,2.6653904012411695,0.9986885123348587,0.9999999999979167,0.1107792854309082,0.0001718878746032715,37.11340206185567
RF,Scenario 1 (V2I - Day - Location A),Proportional-Fair,49.27835051546392,90.9278350515464,0.2627647027682028,2.7162726918782862,0.7259214250729074,0.9999999999979167,0.1107792854309082,0.0001718878746032715,37.11340206185567
RF,Scenario 1 (V2I - Day - Location A),Max-Min,49.27835051546392,90.9278350515464,0.2627647027682028,25.046540849531635,0.9995787580541526,0.9999999999979167,0.1107792854309082,0.0001718878746032715,37.11340206185567
XGB,Scenario 1 (V2I - Day - Location A),Max-SNR,49.69072164948454,90.72164948453609,0.27185082556004764,26.650207693734924,0.9986915026253799,0.9999999999979167,1.190826416015625,7.210969924926758e-05,36.49484536082474
XGB,Scenario 1 (V2I - Day - Location A),Round-Robin,49.69072164948454,90.72164948453609,0.27185082556004764,2.6650207693734926,0.9986915026253793,0.9999999999979167,1.190826416015625,7.210969924926758e-05,36.49484536082474
XGB,Scenario 1 (V2I - Day - Location A),Proportional-Fair,49.69072164948454,90.72164948453609,0.27185082556004764,2.715547924650315,0.7269102080945338,0.9999999999979167,1.190826416015625,7.210969924926758e-05,36.49484536082474
XGB,Scenario 1 (V2I - Day - Location A),Max-Min,49.69072164948454,90.72164948453609,0.27185082556004764,25.05566939336948,0.9995769320986702,0.9999999999979167,1.190826416015625,7.210969924926758e-05,36.49484536082474
NB,Scenario 1 (V2I - Day - Location A),Max-SNR,31.1340206185567,87.21649484536083,0.9077480634776163,26.43720946019746,0.9986972529124046,0.9999999999979167,0.02185654640197754,2.2196769714355467e-05,11.340206185567009
NB,Scenario 1 (V2I - Day - Location A),Round-Robin,31.1340206185567,87.21649484536083,0.9077480634776163,2.6437209460197457,0.9986972529124035,0.9999999999979167,0.02185654640197754,2.2196769714355467e-05,11.340206185567009
NB,Scenario 1 (V2I - Day - Location A),Proportional-Fair,31.1340206185567,87.21649484536083,0.9077480634776163,2.6949740942957896,0.7152753571256596,0.9999999999979167,0.02185654640197754,2.2196769714355467e-05,11.340206185567009
NB,Scenario 1 (V2I - Day - Location A),Max-Min,31.1340206185567,87.21649484536083,0.9077480634776163,24.893454357448295,0.9996387921013676,0.9999999999979167,0.02185654640197754,2.2196769714355467e-05,11.340206185567009
KNN,Scenario 2 (V2I - Night),Max-SNR,45.714285714285715,82.35294117647058,0.4117218961937875,28.34828244959701,0.999317927112125,0.9999999999983051,0.006460666656494141,1.3530254364013672e-05,18.823529411764707
KNN,Scenario 2 (V2I - Night),Round-Robin,45.714285714285715,82.35294117647058,0.4117218961937875,2.8348282449597018,0.9993179271121247,0.9999999999983051,0.006460666656494141,1.3530254364013672e-05,18.823529411764707
